date,city,event_name,event_type,description,impact_level
2024-01-04,泰州,江苏省经济发展论坛,政治活动,汇聚省内外专家学者，共同探讨江苏经济高质量发展路径。,高
2024-01-22,南京,国际环保技术展览会,会议,展示最新环保技术和产品，促进环保产业发展。,低
2024-02-24,无锡,国际生态环境保护大会,文化活动,交流国际生态环境保护经验，共同应对全球环境挑战。,中
2024-03-06,常州,中国国际进口博览会,展览,向世界展示中国开放新姿态，为全球贸易发展注入新动力。,低
2024-03-12,苏州,长江经济带发展论坛,文化活动,探讨长江经济带绿色发展新路径，推动生态优先战略。,中
2024-03-21,徐州,国际环保技术展览会,会议,展示最新环保技术和产品，促进环保产业发展。,中
2024-03-26,淮安,中国(南京)软件产业博览会,体育赛事,展示软件和信息技术服务业最新成果，推动产业创新发展。,中
2024-03-27,南京,江苏省经济发展论坛,政治活动,汇聚省内外专家学者，共同探讨江苏经济高质量发展路径。,高
2024-04-10,南京,国际环保技术展览会,会议,展示最新环保技术和产品，促进环保产业发展。,中
2024-04-13,连云港,中国(苏州)国际旅游节,文化活动,展示苏州旅游资源和文化魅力，促进旅游业发展。,低
2024-05-09,无锡,长江经济带发展论坛,会议,探讨长江经济带绿色发展新路径，推动生态优先战略。,中
2024-06-09,宿迁,中国(南京)软件产业博览会,体育赛事,展示软件和信息技术服务业最新成果，推动产业创新发展。,低
2024-06-23,南通,国际环保技术展览会,体育赛事,展示最新环保技术和产品，促进环保产业发展。,高
2024-06-24,苏州,中国(苏州)国际旅游节,展览,展示苏州旅游资源和文化魅力，促进旅游业发展。,中
2024-07-03,泰州,中国(苏州)国际旅游节,体育赛事,展示苏州旅游资源和文化魅力，促进旅游业发展。,中
2024-07-14,常州,长江经济带发展论坛,政治活动,探讨长江经济带绿色发展新路径，推动生态优先战略。,低
2024-07-17,镇江,中国国际进口博览会,会议,向世界展示中国开放新姿态，为全球贸易发展注入新动力。,高
2024-07-18,南通,长江经济带发展论坛,文化活动,探讨长江经济带绿色发展新路径，推动生态优先战略。,中
2024-07-26,盐城,长江经济带发展论坛,展览,探讨长江经济带绿色发展新路径，推动生态优先战略。,低
2024-08-05,连云港,江苏省经济发展论坛,展览,汇聚省内外专家学者，共同探讨江苏经济高质量发展路径。,中
2024-08-12,盐城,江苏省运动会,会议,全省规模最大的综合性运动会，展示体育健儿风采。,高
2024-09-05,镇江,长三角一体化发展峰会,文化活动,推动长三角地区一体化发展，加强区域合作与交流。,中
2024-10-05,淮安,长江经济带发展论坛,体育赛事,探讨长江经济带绿色发展新路径，推动生态优先战略。,中
2024-10-26,无锡,国际环保技术展览会,政治活动,展示最新环保技术和产品，促进环保产业发展。,中
2024-10-30,苏州,长江经济带发展论坛,政治活动,探讨长江经济带绿色发展新路径，推动生态优先战略。,中
2024-11-14,徐州,国际生态环境保护大会,政治活动,交流国际生态环境保护经验，共同应对全球环境挑战。,中
2024-11-26,苏州,长三角一体化发展峰会,体育赛事,推动长三角地区一体化发展，加强区域合作与交流。,中
2024-12-04,扬州,江苏省运动会,文化活动,全省规模最大的综合性运动会，展示体育健儿风采。,低
2024-12-20,扬州,江苏省运动会,展览,全省规模最大的综合性运动会，展示体育健儿风采。,低
2024-12-28,连云港,世界智能制造大会,政治活动,聚焦智能制造前沿技术和应用，推动制造业转型升级。,中
